Numbered Heading,Type
1. Which set of Amazon S3 features helps to prevent and recover from accidental data loss?,Single Answer
2. What is the minimum time Interval for the data that Amazon CloudWatch receives and aggregates?,Single Answer
3. A user has launched an EC2 instance. The instance got terminated as soon as it was launched. Which of the below mentioned options is not a possible reason for this?,Single Answer
4. Your website is serving on-demand training videos to your workforce. Videos are uploaded monthly in high resolution MP4 format. Your workforce is distributed globally often on the move and using company-provided tablets that require the HTTP Live Streaming (HLS) protocol to watch a video. Your company has no video transcoding expertise and it required you may need to pay for a consultant. How do you implement the most cost-efficient architecture without compromising high availability and quality of video delivery'?,Single Answer
5. You are designing an intrusion detection prevention (IDS/IPS) solution for a customer web application in a single VPC. You are considering the options for implementing IOS IPS protection for traffic coming from the Internet. Which of the following options would you consider? (Choose 2 answers),Multiple Answers (Checkbox)
6. Which of the following are valid statements about Amazon S3? (Choose 2 answers),Multiple Answers (Checkbox)
"7. How can the domain's zone apex, for example, 'myzoneapexdomain.com', be pointed towards an Elastic Load Balancer?",Single Answer
8. When should I choose Provisioned IOPS over Standard RDS storage?,Single Answer
9. Your department creates regular analytics reports from your company's log files All log data is collected in Amazon S3 and processed by daily Amazon Elastic MapReduce (EMR) jobs that generate daily PDF reports and aggregated tables in CSV format for an Amazon Redshift data warehouse. Which of the following alternatives will lower costs without compromising average performance of the system or data integrity for the raw data?,Single Answer
"10. Because of the extensibility limitations of striped storage attached to Windows Server, Amazon RDS does not currently support increasing storage on a [...] DB Instance.",Single Answer
"11. In regards to IAM you can edit user properties later, but you cannot use the console to change the [...].",Single Answer
"12. In Amazon EC2 Container Service, are other container types supported?",Single Answer
"13. Content and Media Server is the latest requirement that you need to meet for a client. The client has been very specific about his requirements such as low latency, high availability, durability, and access control. Potentially there will be millions of views on this server and because of 'spiky' usage patterns, operations teams will need to provision static hardware, network, and management resources to support the maximum expected need. The Customer base will be initially low but is expected to grow and become more geographically distributed. Which of the following would be a good solution for content distribution?",Single Answer
14. Name the disk storage supported by Amazon Elastic Compute Cloud (EC2),Single Answer
"15. After an Amazon VPC instance is launched, can I change the VPC security groups it belongs to?",Single Answer
"16. If I want an instance to have a public IP address, which IP address should I use?",Single Answer
17. Amazon RDS supports SOAP only through [...].,Single Answer
18. Which of the following services natively encrypts data at rest within an AWS region? (Choose 2 answers),Multiple Answers (Checkbox)
19. Which one of the following can't be used as an origin server with Amazon CloudFront?,Single Answer
20. Select the most correct The device name /dev/sdal (within Amazon EC2) is [...].,Single Answer
"21. How can I change the security group membership for interfaces owned by other AWS, such as Elastic Load Balancing?",Single Answer
22. You have created a Route 53 latency record set from your domain to a machine in Northern Virginia and a similar record to a machine in Sydney. When a user located in US visits your domain he will be routed to,Single Answer
"23. In the context of MySQL, version numbers are organized as MySQL version = X.Y.Z. What does X denote here?",Single Answer
24. Which one of the below doesn't affect Amazon CloudFront billing?,Single Answer
25. Just when you thought you knew every possible storage option on AWS you hear someone mention Reduced Redundancy Storage (RRS) within Amazon S3. What is the ideal scenario to use Reduced Redundancy Storage (RRS)?,Single Answer
26. $ aws sqs receive-message â€“queue-urlhttps://queue.amazonaws.com/546419318123/Test,Single Answer
"27. When running my DB Instance as a Multi-AZ deployment, can I use the standby for read or write operations?",Single Answer
"28. In the Launch Db Instance Wizard, where can I select the backup and maintenance options?",Single Answer
29. What is the network performance offered by the c4.8xlarge instance in Amazon EC2?,Single Answer
"30. In Amazon EC2, if your EBS volume stays in the detaching state, you can force the detachment by clicking [...].",Single Answer
31. What does Amazon DynamoDB provide?,Single Answer
"32. Security groups act like a firewall at the instance level, whereas [...] are an additional layer of security that act at the subnet level.",Single Answer
"33. You have been asked to tighten up the password policies in your organization after a serious security breach, so you need to consider every possible security measure. Which of the following is not an account password policy for IAM Users that can be set?",Single Answer
34. Multi-AZ deployment [...] supported for Microsoft SQL Server DB Instances.,Single Answer
35. What does Amazon Elastic Beanstalk provide?,Single Answer
36. You need to quickly set up an email-sending service because a client needs to start using it in the next hour. Amazon Simple Email Service (Amazon SES) seems to be the logical choice but there are several options available to set it up. Which of the following options to set up SES would best meet the needs of the client?,Single Answer
37. A user is observing the EC2 CPU utilization metric on CloudWatch. The user has observed some interesting patterns while filtering over the 1 week period for a particular hour. The user wants to zoom that data point to a more granular period. How can the user do that easily with CloudWatch?,Single Answer
38. A company is running a batch analysis every hour on their main transactional DB. running on an RDS MySQL instance to populate their central Data Warehouse running on Redshift During the execution of the batch their transactional applications are very slow When the batch completes they need to update the top management dashboard with the new data The dashboard is produced by another system running on-premises that is currently started when a manually-sent email notifies that an update is required The on-premises system cannot be modified because is managed by another team. How would you optimize this scenario to solve performance issues and automate the process as much as possible? How would you optimize this scenario to solve performance issues and automate the process as much as possible?,Single Answer
"39. You are configuring a new VPC for one of your clients for a cloud migration project, and only a public VPN will be in place. After you created your VPC, you created a new subnet, a new internet gateway, and attached your internet gateway to your VPC. When you launched your first instance into your VPC, you realized that you aren't able to connect to the instance, even if it is configured with an elastic IP. What should be done to access the instance?",Single Answer
"40. You have been asked to build a database warehouse using Amazon Redshift. You know a little about it, including that it is a SQL data warehouse solution, and uses industry standard ODBC and JDBCconnections and PostgreSQL drivers. However you are not sure about what sort of storage it uses for database tables. What sort of storage does Amazon Redshift use for database tables?",Single Answer
41. A user has attached 1 EBS volume to a VPC instance. The user wants to achieve the best fault tolerance of data possible. Which of the below mentioned options can help achieve fault tolerance?,Single Answer
42. Which features can be used to restrict access to data in S3? (Choose 2 answers),Multiple Answers (Checkbox)
"43. You are in the process of creating a Route 53 DNS failover to direct traffic to two EC2 zones. Obviously, if one fails, you would like Route 53 to direct traffic to the other region. Each region has an ELB with some instances being distributed. What is the best way for you to configure the Route 53 health check?",Single Answer
"44. For each DB Instance class, what is the maximum size of associated storage capacity?",Single Answer
45. A user is planning a highly available application deployment with EC2. Which of the below mentioned options will not help to achieve HA?,Single Answer
46. What does specifying the mapping /dev/sdc=none when launching an instance do?,Single Answer
47. Which of the following statements is true of tagging an Amazon EC2 resource?,Single Answer
"48. You are deploying an application to collect votes for a very popular television show. Millions of users will submit votes using mobile devices. The votes must be collected into a durable, scalable, and highly available data store for real-time public tabulation. Which service should you use?",Single Answer
49. Are Reserved Instances available for Multi-AZ Deployments?,Single Answer
50. A [...] for a VPC is a collection of subnets (typically private) that you may want to designate for your backend RDS DB Instances.,Single Answer
51. An instance is launched into a VPC subnet with the network ACL configured to al low all inbound traffic and deny all outbound traffic. The instance's security group is configured to allow SSH from any IPaddress and deny all outbound traffic. What changes need to be made to allow SSH access to the instance?,Single Answer
52. You can modify the backup retention period; valid values are 0 (for no backup retention) to a maximum of [...] days.,Single Answer
"53. To serve Web traffic for a popular product your chief financial officer and IT director have purchased 10 ml large heavy utilization Reserved Instances (RIs) evenly spread across two Availability Zones: Route 53 is used to deliver the traffic to an Elastic Load Balancer (ELB). After several months, the product grows even more popular and you need additional capacity As a result, your company purchases two C3.2xlarge medium utilization RIs You register the two c3 2xlarge instances with your ELB and quickly find that the ml large instances are at 100% of capacity and the c3 2xlarge instances have significant capacity that's unused Which option is the most cost effective and uses EC2 capacity most effectively?",Single Answer
54. An existing application stores sensitive information on a non-boot Amazon EBS data volume attached to an Amazon Elastic Compute Cloud instance. Which of the following approaches would protect the sensitive data on an Amazon EBS volume?,Single Answer
55. A user has launched one EC2 instance in the US West region. The user wants to access the RDS instance launched in the US East region from that EC2 instance. How can the user configure the access for that EC2 instance?,Single Answer
56. You have been asked to build AWS infrastructure for disaster recovery for your local applications and within that you should use an AWS Storage Gateway as part of the solution. Which of the following best describes the function of an AWS Storage Gateway?,Single Answer
"57. While creating an Amazon RDS DB, your first task is to set up a DB [...] that controls which IP address or EC2 instance can access your DB Instance.",Single Answer
58. You need to import several hundred megabytes of data from a local Oracle database to an Amazon RDS DB instance. What does AWS recommend you use to accomplish this?,Single Answer
"59. In the context of AWS support, why must an EC2 instance be unreachable for 20 minutes rather than allowing customers to open tickets immediately?",Single Answer
60. HTTP Query-based requests are HTTP requests that use the HTTP verb GET or POST and a Query parameter named [...].,Single Answer
"61. A friend tells you he is being charged $100 a month to host his WordPress website, and you tell him you can move it to AWS for him and he will only pay a fraction of that, which makes him very happy. He then tells you he is being charged $50 a month for the domain, which is registered with the same people that set it up, and he asks if it's possible to move that to AWS as well. You tell him you aren't sure, but will look into it. Which of the following statements is true in regards to transferring domain names to AWS?",Single Answer
"62. While creating the snapshots using the command line tools, which command should I be using?",Single Answer
"63. All Amazon EC2 instances are assigned two IP addresses at launch, out of which one can only be reached from within the Amazon EC2 network?",Single Answer
"64. When an EC2 instance that is backed by an S3-based AMI is terminated, what happens to the data on the root volume?",Single Answer
"65. You've created your first load balancer and have registered your EC2 instances with the load balancer. Elastic Load Balancing routinely performs health checks on all the registered EC2 instances and automatically distributes all incoming requests to the DNS name of your load balancer across your registered, healthy EC2 instances. By default, the load balancer uses the [...] protocol for checking the health of your instances.",Single Answer
"66. Amazon Elastic Load Balancing is used to manage traffic on a fleet of Amazon EC2 instances, distributing traffic to instances across all Availability Zones within a region. Elastic Load Balancing has all the advantages of an on-premises load balancer, plus several security benefits. Which of the following is not an advantage of ELB over an on-premise load balancer?",Single Answer
67. A web company is looking to implement an external payment service into their highly available application deployed in a VPC Their application EC2 instances are behind a public lacing ELB Auto scaling is used to add additional instances as traffic increases under normal load the application runs 2 instances in the Auto Scaling group but at peak it can scale 3x in size. The application instances need to communicate with the payment service over the Internet which requires whitelisting of all public IP addresses used to communicate with it. A maximum of 4 whitelisting IP addresses are allowed at a time and can be added through an API. How should they architect their solution?,Multiple Answers
68. You are using Amazon SES as an email solution but are unsure of what its limitations are. Which statement below is correct in regards to that?,Single Answer
69. Your company is getting ready to do a major public announcement of a social media site on AWS. The website is running on EC2 instances deployed across multiple Availability Zones with a Multi-AZ RDS MySQL Extra Large DB Instance. The site performs a high number of small reads and writes per second and relies on an eventual consistency model. After comprehensive tests you discover that there is read contention on RDS MySQL. Which are the best approaches to meet these requirements? (Choose 2 answers),Multiple Answers (Checkbox)
70. What does a 'Domain' refer to in Amazon SWF?,Single Answer
"71. The SQL Server [...] feature is an efficient means of copying data from a source database to your DB Instance. It writes the data that you specify to a data file, such as an ASCII file.",Single Answer
72. Any person or application that interacts with AWS requires security credentials. AWS uses these credentials to identify who is making the call and whether to allow the requested access. You have just set up a VPC network for a client and you are now thinking about the best way to secure this network. You set up a security group called vpcsecuritygroup. Which following statement is true in respect to the initial settings that will be applied to this security group if you choose to use the default settings for this group?,Single Answer
73. Which one of the below is not an AWS Storage Service?,Single Answer
"74. You are trying to launch an EC2 instance, however the instance seems to go into a terminated status immediately. What would probably not be a reason that this is happening?",Single Answer
"75. A company is building software on AWS that requires access to various AWS services. Which configuration should be used to ensure mat AWS credentials (i.e., Access Key ID/Secret Access Key combination) are not compromised?",Single Answer
76. Can we attach an EBS volume to more than one EC2 instance at the same time?,Single Answer
"77. You need to measure the performance of your EBS volumes as they seem to be under performing. You have come up with a measurement of 1,024 KB I/O but your colleague tells you that EBS volume performance is measured in IOPS. How many IOPS is equal to 1,024 KB I/O?",Single Answer
"78. Your company produces customer commissioned one-of-a-kind skiing helmets combining nigh fashion with custom technical enhancements Customers can show off their Individuality on the ski slopes and have access to head-up-displays. GPS rear-view cams and any other technical innovation they wish to embed in the helmet. The current manufacturing process is data rich and complex including assessments to ensure that the custom electronics and materials used to assemble the helmets are to the highest standards Assessments are a mixture of human and automated assessments you need to add a new set of assessment to model the failure modes of the custom electronics using GPUs with CUDA, across a cluster of servers with low latency networking. What architecture would allow you to automate the existing process using a hybrid approach and ensure that the architecture can support the evolution of processes over time?",Single Answer
79. You are designing Internet connectivity for your VPC. The Web servers must be available on the Internet. The application must have a highly available architecture. Which alternatives should you consider? (Choose 2 answers),Multiple Answers (Checkbox)
80. You need to configure an Amazon S3 bucket to serve static assets for your public-facing web application. Which methods ensure that all objects uploaded to the bucket are set to public read? (Choose 2 answers),Multiple Answers (Checkbox)
81. A major customer has asked you to set up his AWS infrastructure so that it will be easy to recover in the case of a disaster of some sort. Which of the following is important when thinking about being able to quickly launch resources in AWS to ensure business continuity in case of a disaster?,Single Answer
"82. You are developing a new mobile application and are considering storing user preferences in AWS. This would provide a more uniform cross-device experience to users using multiple mobile devices to access the application. The preference data for each user is estimated to be SOKB in size Additionally 5 million customers are expected to use the application on a regular basis. The solution needs to be cost-effective, highly available, scalable and secure, how would you design a solution to meet the above requirements?",Multiple Answers
"83. In the Amazon RDS which uses the SQL Server engine, what is the maximum size for a Microsoft SQL Server DB Instance with SQL Server Express edition?",Single Answer
84. You have deployed a web application targeting a global audience across multiple AWS Regions under the domain name.example.com. You decide to use Route 53 Latency-Based Routing to serve web requests to users from the region closest to the user. To provide business continuity in the event of server downtime you configure weighted record sets associated with two web servers in separate Availability Zones per region. Dunning a DR test you notice that when you disable all web servers in one of the regions Route 53 does not automatically direct all users to the other region. What could be happening? (Choose 2 answers),Multiple Answers (Checkbox)
85. Amazon EBS provides the ability to create backups of any Amazon EC2 volume into what is known as [...].,Single Answer
86. You've been hired to enhance the overall security posture for a very large e-commerce site They have a well architected multi-tier application running in a VPC that uses ELBs in front of both the web and the app tier with static assets served directly from S3 They are using a combination of RDS and DynamoOB for their dynamic data and then archiving nightly into S3 for further processing with EMR They are concerned because they found questionable log entries and suspect someone is attempting to gain unauthorized access. Which approach provides a cost effective scalable mitigation to this kind of attack?,Single Answer
87. You are designing the network infrastructure for an application server in Amazon VPC Users will access all the application instances from the Internet as well as from an on-premises network The on-premises network is connected to your VPC over an AWS Direct Connect link. How would you design routing to meet the above requirements?,Single Answer
88. You have multiple VPN connections and want to provide secure communication between sites using the AWS VPN CloudHub. Which statement is the most accurate in describing what you must do to set this up correctly?,Multiple Answers
89. A user is aware that a huge download is occurring on his instance. He has already set the Auto Scaling policy to increase the instance count when the network I/O increases beyond a certain limit. How can the user ensure that this temporary event does not result in scaling?,Single Answer
90. The Amazon EC2 web service can be accessed using the [...] web services messaging protocol. This interface is described by a Web Services Description Language (WSDL) document.,Single Answer
91. Which of the following are true regarding encrypted Amazon Elastic Block Store (EBS) volumes? (Choose 2 answers),Multiple Answers (Checkbox)
92. Is Federated Storage Engine currently supported by Amazon RDS for MySQL?,Single Answer
"93. While creating the snapshots using the API, which Action should I be using?",Single Answer
94. A customer needs to capture all client connection information from their load balancer every five minutes. The company wants to use this data for analyzing traffic patterns and troubleshooting their applications. Which of the following options meets the customer requirements?,Single Answer
95. Will my standby RDS instance be in the same Region as my primary?,Single Answer
"96. If I want my instance to run on a single-tenant hardware, which value do I have to set the instance's tenancy attribute to?",Single Answer
97. Can the string value of 'Key' be prefixed with :aws:'?,Single Answer
98. A user wants to increase the durability and availability of the EBS volume. Which of the below mentioned actions should he perform?,Single Answer
99. What does Amazon RDS stand for?,Single Answer
"100. You have been asked to set up monitoring of your network and you have decided that Cloudwatch would be the best service to use. Amazon CloudWatch monitors your Amazon Web Services (AWS) resources and the applications you run on AWS in real-time. You can use CloudWatch to collect and track metrics, which are the variables you want to measure for your resources and applications. Which of the following items listed can AWS Cloudwatch monitor?",Multiple Answers
101. What is the maximum write throughput I can provision for a single Dynamic DB table?,Single Answer
102. Do Amazon EBS volumes persist independently from the running life of an Amazon EC2 instance?,Single Answer
103. What is a Security Group?,Single Answer
104. You need to set up a high level of security for an Amazon Relational Database Service (RDS) you have just built in order to protect the confidential information stored in it. What are all the possible security groups that RDS uses?,Single Answer
"105. In the 'Detailed' monitoring data available for your Amazon EBS volumes, Provisioned IOPS volumes automatically send [...] minute metrics to Amazon CloudWatch.",Single Answer
106. You are looking at ways to improve some existing infrastructure as it seems a lot of engineering resources are being taken up with basic management and monitoring tasks and the costs seem to be excessive. You are thinking of deploying Amazon ElasticCache to help. Which of the following statements is true in regards to ElasticCache?,Single Answer
"107. A customer needs corporate IT governance and cost oversight of all AWS resources consumed by its divisions. The divisions want to maintain administrative control of the discrete AWS resources they consume and keep those resources separate from the resources of other divisions. Which of the following options, when used together will support the autonomy/control of divisions while enabling corporate IT to maintain governance and cost oversight? (Choose 2 answers)",Multiple Answers (Checkbox)
108. After creating a new IAM user which of the following must be done before they can successfully make API calls?,Single Answer
109. A friend wants you to set up a small BitTorrent storage area for him on Amazon S3. You tell him it is highly unlikely that AWS would allow such a thing in their infrastructure. However you decide to investigate. Which of the following statements best describes using BitTorrent with Amazon S3?,Single Answer
"110. IAM's Policy Evaluation Logic always starts with a default [...] for every request, except for those that use the AWS account's root security credentials?",Single Answer
111. You have been given a scope to deploy some AWS infrastructure for a large organization. The requirements are that you will have a lot of EC2 instances but may need to add more when the average utilization of your Amazon EC2 fleet is high and conversely remove them when CPU utilization is low. Which AWS services would be best to use to accomplish this?,Single Answer
112. When does the billing of an Amazon EC2 system begin?,Single Answer
113. A user is storing a large number of objects on AWS S3. The user wants to implement the search functionality among the objects. How can the user achieve this?,Single Answer
"114. A corporate web application is deployed within an Amazon Virtual Private Cloud (VPC) and is connected to the corporate data center via an IPsec VPN. The application must authenticate against the on-premises LDAP server. After authentication, each logged-in user can only access an Amazon Simple Storage Space (S3) keyspace specific to that user. Which two approaches can satisfy these objectives? (Choose 2 answers)",Multiple Answers (Checkbox)
115. A group can contain many users. Can a user belong to multiple groups?,Multiple Answers
116. Does Dynamo DB support in-place atomic updates?,Single Answer
117. Can you move a Reserved Instance from one Availability Zone to another?,Single Answer
118. You want to establish a dedicated network connection from your premises to AWS in order to save money by transferring data directly to AWS rather than through your internet service provider. You are sure there must be some other benefits beyond cost savings. Which of the following statements would be the best choice to put your client's mind at rest?,Single Answer
119. Can I detach the primary (ethO) network interface when the instance is running or stopped?,Single Answer
"120. You have launched an Amazon Elastic Compute Cloud (EC2) instance into a public subnet with a primary private I P address assigned, an internet gateway is attached to the VPC, and the public route table is configured to send all Internet-based traffic to the Internet gateway. The instance security group is set to allow all outbound traffic but cannot access the internet. Why is the Internet unreachable from this instance?",Single Answer
121. Which of the following statements best describes the differences between Elastic Beanstalk and CloudFormation?,Single Answer
122. It is advised that you watch the Amazon CloudWatch [...] metric (available via the AWS Management Console or Amazon Cloud Watch APIs) carefully and recreate the Read Replica should it fall behind due to replication errors.,Single Answer
123. Your application provides data transformation services. Files containing data to be transformed are first uploaded to Amazon S3 and then transformed by a fleet of spot EC2 instances. Fi les submitted by your premium customers must be transformed with the highest priority. How should you implement such a system?,Single Answer
"124. True or False: When you view the block device mapping for your instance, you can see only the EBS volumes, not the instance store volumes.",Single Answer
125. Does AWS CloudFormation support Amazon EC2 tagging?,Single Answer
"126. If I modify a DB Instance or the DB parameter group associated with the instance, should I reboot the instance for the changes to take effect?",Single Answer
"127. If you are using Amazon RDS Provisioned IOPS storage with MySQL and Oracle database engines, you can scale the throughput of your database Instance by specifying the IOPS rate from [...].",Single Answer
"128. To specify a resource in a policy statement, in Amazon EC2, can you use its Amazon Resource Name (ARN)?",Single Answer
129. An enterprise wants to use a third-party SaaS application. The SaaS application needs to have access to issue several API commands to discover Amazon EC2 resources running within the enterprise's account The enterprise has internal security policies that require any outside access to their environment must conform to the principles of least privilege and there must be controls in place to ensure that the credentials used by the 5aa5 vendor cannot be used by any other third party. Which of the following would meet all of these conditions?,Single Answer
130. By default what are ENIs that are automatically created and attached to instances using the EC2 console set to do when the attached instance terminates?,Single Answer
"131. In EC2, what happens to the data in an instance store if an instance reboots (either intentionally or unintentionally)?",Single Answer
132. You are designing a social media site and are considering how to mitigate distributed denial-of service (DDoS) attacks. Which of the below are viable mitigation techniques? (Choose 3 answers),Single Answer
"133. In Amazon CloudFront, if you use Amazon EC2 instances and other custom origins with CloudFront, it is recommended to [...].",Single Answer
134. Which of the following statements is true regarding attaching network interfaces to your instances in your VPC?,Single Answer
135. What is the reason for this?,Single Answer
136. Can a 'user' be associated with multiple AWS accounts?,Multiple Answers
"137. You have an application running on an Amazon Elastic Compute Cloud instance, that uploads 5 GB video objects to Amazon Simple Storage Service (S3). Video uploads are taking longer than expected, resulting in poor application performance. Which method will help improve performance of your application?",Single Answer
138. You have been given a scope to set up an AWS Media Sharing Framework for a new start up photo sharing company similar to flickr. The first thing that comes to mind about this is that it will obviously need a huge amount of persistent data storage for this framework. Which of the following storage options would be appropriate for persistent storage?,Single Answer
"139. You need a persistent and durable storage to trace call activity of an IVR (Interactive Voice Response) system. Call duration is mostly in the 2-3 minutes timeframe. Each traced call can be either active or terminated. An external application needs to know each minute the list of currently active calls, which are usually a few calls/second. Put once per month there is a periodic peak up to 1000 calls/second for a few hours. The system is open 24/7 and any downtime should be avoided. Historical data is periodically archived to files. Cost saving is a priority for this project. What database implementation would better fit this scenario, keeping costs as low as possible?",Multiple Answers
"140. If you have chosen Multi-AZ deployment, in the event of a planned or unplanned outage of your primary DB Instance, Amazon RDS automatically switches to the standby replica. The automatic failover mechanism simply changes the record of the main DB Instance to point to the standby DB Instance.",Single Answer
141. All Amazon EC2 instances are assigned two IP addresses at launch. Which are those?,Single Answer
142. You need to pass a custom script to new Amazon Linux instances created in your Auto Scaling group. Which feature allows you to accomplish this?,Single Answer
143. A customer wants to track access to their Amazon Simple Storage Service (S3) buckets and also use this information for their internal security and access audits. Which of the following will meet the Customer requirement?,Single Answer
144. Which DNS name can only be resolved within Amazon EC2?,Single Answer
145. An AWS customer is deploying an application mat is composed of an AutoScaling group of EC2 Instances. The customers security policy requires that every outbound connection from these instances to any other service within the customers Virtual Private Cloud must be authenticated using a unique x 509 certificate that contains the specific instance-id. In addition an x 509 certificates must Designed by the customer's Key management service in order to be trusted for authentication. Which of the following configurations will support these requirements?,Single Answer
146. A company is storing data on Amazon Simple Storage Service (S3). The company's security policy mandates that data is encrypted at rest. Which of the following methods can achieve this? (Choose 3 answers),Single Answer
"147. In Amazon EC2, you are billed instance-hours when [...].",Single Answer
148. Which of the below mentioned options is a possible solution to avoid any security threat?,Single Answer
"149. In Amazon EC2 Container Service components, what is the name of a logical grouping of container instances on which you can place tasks?",Single Answer
"150. You are looking to migrate your Development (Dev) and Test environments to AWS. You have decided to use separate AWS accounts to host each environment. You plan to link each accounts bill to a Master AWS account using Consolidated Billing. To make sure you Keep within budget you would like to implement a way for administrators in the Master account to have access to stop, delete and/or terminate resources in both the Dev and Test accounts. Identify which option will allow you to achieve this goal.",Single Answer
151. What will be the status of the snapshot until the snapshot is complete?,Single Answer
"152. A customer is running a multi-tier web application farm in a virtual private cloud (VPC) that is not connected to their corporate network. They are connecting to the VPC over the Internet to manage all of their Amazon EC2 instances running in both the public and private subnets. They have only authorized the bastion-security-group with Microsoft Remote Desktop Protocol (RDP) access to the application instance security groups, but the company wants to further limit administrative access to all of the instances in the VPC. Which of the following Bastion deployment scenarios will meet this requirement?",Single Answer
153. True or False: Common points of failures like generators and cooling equipment are shared across Availability Zones.,Single Answer
"154. A company is building a voting system for a popular TV show, viewers win watch the performances then visit the show's website to vote for their favorite performer. It is expected that in a short period of time after the show has finished the site will receive millions of visitors. The visitors will first login to the site using their Amazon.com credentials and then submit their vote. After the voting is completed the page will display the vote totals. The company needs to build the site such that can handle the rapid influx of traffic while maintaining good performance but also wants to keep costs to a minimum. Which of the design patterns below should they use?",Single Answer
